hyperparameters,Accuracy_score
"('rbf', 1.0)",-0.0004654275957229337
"('rbf', 6.2105263157894735)",0.14192444921738745
"('rbf', 11.421052631578947)",0.24382664760796527
"('poly', 16.63157894736842)",0.3570932459533278
"('poly', 21.842105263157894)",0.35904835037152927
"('poly', 27.052631578947366)",0.3407041705674174
"('rbf', 32.26315789473684)",0.521223928855616
"('poly', 37.473684210526315)",0.27012192605472796
"('rbf', 42.68421052631579)",0.5929458469700926
"('linear', 47.89473684210526)",0.9609950931466833
"('rbf', 53.10526315789473)",0.6386385846747207
"('poly', 58.315789473684205)",0.1318229032932095
"('rbf', 63.526315789473685)",0.6697447501518577
"('rbf', 68.73684210526315)",0.6821584316721511
"('linear', 73.94736842105263)",0.9609950931466833
"('poly', 79.1578947368421)",0.07701501978258152
"('linear', 84.36842105263158)",0.9609950931466833
"('poly', 89.57894736842105)",0.053917229355622265
"('poly', 94.78947368421052)",0.04236609510152953
"('poly', 100.0)",0.030334525540210294
"('linear', 16.604257682181665)",0.9609950931466833
"('rbf', 12.183146722350894)",0.2578311141444252
"('rbf', 47.79481564166513)",0.6182980276505408
"('linear', 33.517137285119205)",0.9609950931466833
"('rbf', 35.03949621579614)",0.5424793912576874
"('linear', 16.666905573190945)",0.9609950931466833
"('linear', 45.792719220253325)",0.9609950931466833
"('linear', 51.94353885257881)",0.9609950931466833
"('linear', 53.118535650515604)",0.9609950931466833
"('poly', 43.70577905975299)",0.2113830977553185
"('poly', 49.514344572532636)",0.16276946660400773
"('rbf', 47.89473684210526)",0.6187147661789038
"('linear', 51.589717746670686)",0.9609950931466833
"('poly', 47.130815256145326)",0.1807539302757734
"('rbf', 48.12313489131395)",0.6196657168474543
"('rbf', 49.49157261912707)",0.6252343702936575
"('linear', 47.505849267325196)",0.9609950931466833
"('poly', 47.96825239301392)",0.1737172277207636
"('rbf', 47.916680581594974)",0.6188063455819566
"('rbf', 47.938763649095655)",0.6188985229754643
"('rbf', 48.211155990213506)",0.6200314807783649
"('rbf', 47.91663192859001)",0.6188061467145014
"('rbf', 48.161651722582505)",0.6198256438925496
"('poly', 47.89473684210526)",0.1743438381727259
"('rbf', 47.97894534101017)",0.6190658551851026
"('poly', 47.83962520494098)",0.17481330471063627
"('poly', 47.58972751540778)",0.1769109543785605
"('poly', 47.89477687106646)",0.17434326424573526
"('rbf', 47.97896893203065)",0.6190659141174271
"('poly', 47.73128823129846)",0.17573088777282767
