SMILES,Density_MD (kg/m3)
COc1nccc(c1)c1cocc1,1170.36
COc1occ(c1)c1cccnc1,1161.13
Cc1ccc(nc1)c1ccoc1O,1163.19
Cc1ccc(o1)Oc1ccccn1,1123.83
Cc1cccc(n1)CC1CCCC1,931.292
Cc1cccc(n1)c1coc(c1)O,1157.57
Cc1ccccc1c1cncs1,1126.45
Cc1cccnc1Oc1ccoc1,1126.1
Cc1ccnc(c1)Oc1ccco1,1126.05
Cc1ccnc(c1O)c1ccco1,1172.77
Cc1ccoc1Oc1ccccn1,1121.44
Cc1ccsc1c1ccncc1,1124.18
Cc1cnc(cc1O)c1cocc1,1173.42
Cc1cncc(c1)CC1CCCC1,940.436
Cc1cncc(c1)Oc1ccco1,1127.89
Cc1cncc(c1)c1cocc1O,1176.25
Cc1cncc(c1)c1occ(c1)O,1172.14
Cc1coc(c1O)c1cccnc1,1167.16
Cc1csc(c1)c1ccncc1,1129.92
Cc1ncc(c(c1)O)c1ccco1,1165.91
Cc1nccc(c1)Oc1ccco1,1124.3
Cc1occ(c1)Oc1ccccn1,1123.09
Cc1occ(c1O)c1ccncc1,1171.04
Cc1scnc1c1ccccc1,1111.18
OCc1ccc(cn1)c1cocc1,1179.07
OCc1cocc1c1cccnc1,1183.03
Oc1ccc(cn1)c1occc1C,1160.73
Oc1ccc(nc1)Cc1cocc1,1153.71
Oc1ccc(nc1)c1occc1C,1166.55
Oc1ccc(nc1C)c1cocc1,1165.35
Oc1ccc(o1)c1ncccc1C,1155.69
Oc1nccc(c1)c1occc1C,1163.85
Oc1occc1Cc1ccncc1,1151.3
c1ccc(nc1)COc1ccco1,1135.28
CC1(C)CCC(C1)c1cnccn1,987.648
CC1(CCCC1)Cc1nccnc1,992.262
CC1(O)CCC(C1)c1ccccc1,989.772
CC1CCC(C1)Cc1cnccn1,977.883
COc1ccc(o1)c1cnccn1,1205.47
Cc1c(cccc1O)C1CCCC1,1000.29
Cc1ccc(c(c1)O)C1CCCC1,991.305
Cc1ccnc(c1)c1cncs1,1182.6
Cc1cnc(cn1)c1occc1O,1217.72
Cc1cnccc1c1cscn1,1179.9
Cc1nccnc1c1cccs1,1175.31
Cc1occ(c1)c1nccnc1O,1215.79
Cc1scc(c1)c1cnccn1,1179.35
Cc1scc(n1)c1ccncc1,1175.55
OC1C(C)CCC1c1ccccc1,987.501
OC1CCC(C1)c1ccccc1C,1003.08
OCc1nccnc1c1cocc1,1236.43
OOc1ccc2c(c1)ccc(c2)O,1225.6
Oc1c(O)cc2c(c1O)cccc2,1289.5
Oc1cc(O)c2c(c1)ccc(c2)O,1285.22
Oc1ccc(c(c1)O)c1ccco1,1229.03
Oc1ccc(cc1)CC1CCCC1,976.706
Oc1ccc(cc1)c1coc(c1)O,1230.97
Oc1cccc2c1cccc2S,1238.11
c1ccc(cc1)Cc1nsnc1,1170.52
c1ccc(cc1)Sc1cocc1,1141.29
c1ccc(nc1)Cc1cscn1,1165.64
CC1(NCNCN1)c1ccccc1,1116.62
CC1(O)CCCC1c1ccccn1,1026.55
CC1CCC(C1)(O)c1cccnc1,1034.86
CC1CCC(C1c1ccccn1)O,1024.97
CC1CCCC1c1ccc(cn1)O,1022.93
CC1CCCC1c1ccncc1O,1033.31
COC1CCCC1c1ccncc1,1023.34
COc1ncccc1C1CCCC1,1021.75
Cc1ccc(cc1)C1NCNCN1,1114.76
Cc1cccc(n1)c1nncs1,1219.47
Cc1ccncc1c1nncs1,1228.74
Cc1ncc(s1)c1nccnc1,1230.13
Cc1nsnc1c1ccccn1,1235.62
OC(c1ccncc1)C1CCCC1,1027.2
OC1(CCCC1)Cc1ccccn1,1026.49
OC1CCC(C1)(C)c1cccnc1,1046.65
OC1CCC(C1)c1cncc(c1)C,1035.68
OCC1CCCC1c1ccccn1,1031.39
OOc1occc1c1cccnc1,1242.74
Oc1ccc(nc1)c1cccs1,1239.71
Oc1ccc(o1)Oc1ccncc1,1247.19
Oc1ccc(o1)c1cnccc1O,1288.52
Oc1ccnc(c1)c1cscc1,1248.84
Oc1ccncc1Oc1ccoc1,1241.53
Oc1ccncc1c1ccoc1O,1290.78
Oc1ccoc1Oc1cccnc1,1250.39
Oc1nccc(c1)C1(C)CCCC1,1041.85
Oc1nccc(c1)c1cocc1O,1298.93
Oc1ncccc1Oc1cocc1,1247.09
Oc1sccc1c1ccncc1,1246.59
Sc1occc1c1ccccn1,1229.33
CC(c1cccs1)c1ccoc1,1101.35
CC1CCCC1Oc1cnccn1,1047.38
CCc1cocc1c1cscc1,1145.45
CCc1occc1c1cccs1,1133.2
Cc1ccc(o1)Cc1cscc1,1091.8
Cc1ccc(o1)c1cscc1C,1128.4
Cc1ccc(s1)Cc1cocc1,1088.54
Cc1ccc(s1)c1ccoc1C,1126.62
Cc1cccc(n1)N1CNCNC1,1154.34
Cc1ccoc1Cc1cscc1,1106.97
Cc1csc(c1)c1ccoc1C,1132.67
Cc1ncccc1C1NCNCN1,1167.53
Cc1occ(c1)Cc1cscc1,1092.58
Cc1occc1c1sccc1C,1153.76
Cc1sc(c(c1)c1cocc1)C,1137.56
N1CNC(NC1)Cc1cccnc1,1161.67
OC1(CCCC1)Oc1ccccc1,1049.98
OC1(CCCC1)c1nccnc1C,1083.79
OC1CCC(C1)c1cccc(c1)O,1085.47
OOc1cccc(c1)C1CCCC1,1044.4
Oc1ccc(cc1C1CCCC1)O,1081.62
Oc1ccc(cc1O)C1CCCC1,1082.9
Oc1ccc(nc1)c1cscn1,1299.43
Oc1cnccc1c1nccs1,1303.08
Oc1ncc(nc1C1CCCC1)C,1062.58
Oc1ncccc1c1cncs1,1305.99
SC1CCC(C1)c1ccccc1,1037.91
Sc1ccc(o1)c1cnccn1,1282.36
Sc1cocc1c1cnccn1,1300.36
Sc1occ(c1)c1cnccn1,1289.52
c1cnc(cn1)Cc1nsnc1,1291.62
C1CCC(C1)OOc1cccnc1,1071.56
CCc1coc(c1)c1cncs1,1162.32
Cc1coc(c1)c1csc(n1)C,1156.27
Cc1nccnc1N1CNCNC1,1201.77
Cc1oc(c(c1)c1nccs1)C,1173.06
Cc1occ(c1)c1scnc1C,1179.18
Cc1occc1Cc1nccs1,1149.9
Cc1occc1c1scnc1C,1205.98
OC1(CCCC1)c1cccc(n1)O,1118.95
OC1CCC(C1)c1ccncc1O,1138.96
OC1CCCC1c1cccnc1O,1129.45
OOC1(CCCC1)c1ccncc1,1095.86
OOc1ccncc1C1CCCC1,1089.45
Oc1cc(cc(n1)O)C1CCCC1,1121.31
Oc1cncc(c1)c1nsnc1,1388.1
Oc1nc(ccc1O)C1CCCC1,1121.93
Oc1ncccc1C1(O)CCCC1,1133.64
Oc1nccnc1c1cncs1,1369.67
Oc1nnc(s1)c1ccccn1,1344.28
Oc1scc(n1)c1nccnc1,1365.78
Sc1ncccc1C1CCCC1,1098.09
C1CCC(C1)CCc1cccs1,980.209
CCC1CCC(C1)c1cscc1,988.154
CCC1CCCC1c1cscc1,986.353
CCc1ccsc1C1CCCC1,1000.17
CCc1coc(c1)c1nsnc1,1218.36
CCc1nnc(s1)c1ccco1,1196.76
COc1ccc(o1)c1cscc1,1209.02
COc1scc(c1)c1ccco1,1221.29
Cc1ccsc1Oc1cocc1,1196.25
Cc1coc(c1c1cocc1)S,1255.26
Cc1csc(c1)CC1CCCC1,979.635
Cc1csc(c1)c1occc1O,1230.87
Cc1oc(c(c1)c1ccco1)S,1214.1
Cc1oc(cc1C)c1scnn1,1209.94
Cc1occ(c1)c1csc(c1)O,1224.45
Cc1occ(c1)c1nnc(s1)C,1191.79
Cc1occ(c1c1cnsn1)C,1263.9
Cc1sc(cc1C)C1CCCC1,980.16
Cc1scc(c1)Oc1ccco1,1180
OC(c1ccsc1)c1ccoc1,1217.63
OC1CCC(C1)c1cncc(n1)O,1177.87
OC1NCNC(N1)c1cccnc1,1262.87
OCc1ccc(s1)c1ccco1,1225.9
OCc1ccc(s1)c1cocc1,1233.24
ON1CNCNC1c1ccccn1,1245.1
OOc1cncc(n1)C1CCCC1,1128.93
Oc1cc(c(o1)c1cccs1)C,1235.96
Oc1cc(c(s1)c1cocc1)C,1247.56
Oc1ccc(o1)c1ccc(s1)C,1210.36
Oc1ccc(o1)c1cscc1C,1246.12
Oc1cccc(n1)N1CNCNC1,1266.15
Oc1cccnc1N1CNCNC1,1268.58
Oc1cnc(cn1)c1cnsn1,1451.8
