hyperparameters,Accuracy_score
"(-9.210340371976182, 'svd')",0.8879786936039781
"(-8.846774304661333, 'svd')",0.8880557534436941
"(-8.483208237346483, 'eigen')",0.8881750609882436
"(-8.119642170031634, 'auto')",0.8883524644631955
"(-7.756076102716785, 'auto')",0.888573436946833
"(-7.392510035401935, 'auto')",0.8889123593868303
"(-7.028943968087086, 'eigen')",0.889511658374651
"(-6.665377900772237, 'eigen')",0.9077146292010746
"(-6.301811833457387, 'auto')",0.9224809970620662
"(-5.938245766142538, 'auto')",0.9296901139158928
"(-5.574679698827689, 'eigen')",0.9365010711600125
"(-5.2111136315128395, 'eigen')",0.9403879780687432
"(-4.84754756419799, 'eigen')",0.9433759993540382
"(-4.483981496883141, 'eigen')",0.9459698829844554
"(-4.1204154295682915, 'eigen')",0.9479483303212
"(-3.7568493622534422, 'auto')",0.9492988333459618
"(-3.393283294938593, 'svd')",0.9464223869826551
"(-3.0297172276237436, 'eigen')",0.9466115684159964
"(-2.6661511603088943, 'svd')",0.949458926929954
"(-2.3025850929940455, 'svd')",0.9538676208939928
"(-8.715109354442987, 'auto')",0.8880945140699326
"(-8.952175672666115, 'eigen')",0.8880353180604901
"(-6.3698974638908545, 'svd')",0.9213877120579126
"(-3.3392523983775435, 'eigen')",0.9454963738458853
"(-4.168664735181872, 'eigen')",0.947911846110964
"(-3.393283294938593, 'eigen')",0.9464223869826551
"(-3.8478258388280655, 'eigen')",0.9483293080659384
"(-3.902476996170981, 'svd')",0.9478301778143488
"(-2.3520346493314963, 'eigen')",0.952870691878584
"(-2.8861616093304012, 'eigen')",0.9485531267108328
"(-2.7772107946004057, 'svd')",0.9494015142889161
"(-3.007232627491756, 'eigen')",0.9469360757014678
"(-2.807228439417869, 'svd')",0.9494518401542138
"(-4.347120961690479, 'svd')",0.9476633317039649
"(-2.4098057111400855, 'auto')",0.9520817158940482
"(-3.735006793260626, 'eigen')",0.9495210694960532
"(-4.338170823653154, 'eigen')",0.9477185948961679
"(-3.010445143843722, 'eigen')",0.9468927862774222
"(-2.80405591045292, 'eigen')",0.9494508203621603
"(-4.235693503559072, 'svd')",0.9479740447869033
"(-3.7568493622534422, 'svd')",0.9492988333459618
"(-2.5924969347891618, 'svd')",0.9498360784534731
"(-2.5462731140326547, 'svd')",0.950197925764392
"(-3.379781538351216, 'auto')",0.9461231823138025
"(-2.694643918208405, 'auto')",0.9493856501925642
"(-2.6357383534835352, 'svd')",0.9496108430816463
"(-2.3025850929940455, 'eigen')",0.9538676208939928
"(-2.5595148926326305, 'svd')",0.9500391458263708
"(-2.614248052135013, 'svd')",0.9497246788222998
"(-5.013539554853157, 'svd')",0.9420062177485231
