Best_individual,Fitness_values,Time (hours)
"(-2.424409465674888, 'auto')",0.9626373032814943,0.00011372632450527615
"(-2.3025850929940455, 'auto')",0.9620324646694551,0.00013724519146813286
"(-2.3025850929940455, 'auto')",0.9620324646694551,0.00013403157393137614
"(-2.3025850929940455, 'auto')",0.9620324646694551,0.00011807130442725287
"(-2.3025850929940455, 'auto')",0.9620324646694551,0.0001265083418952094
"(-2.3025850929940455, 'auto')",0.9620324646694551,0.0001246613926357693
"(-2.3025850929940455, 'auto')",0.9620324646694551,0.00011179354455735948
"(-2.3025850929940455, 'auto')",0.9620324646694551,0.00011639939414130317
"(-2.3025850929940455, 'auto')",0.9620324646694551,0.00011804567442999946
"(-2.3025850929940455, 'auto')",0.9620324646694551,0.00011251952913072375
