Best_individual,Fitness_values,Time (hours)
"('poisson', 'random', 12, 1, -6.813742950784121)",0.7181377166896832,5.72988059785631e-05
"('poisson', 'random', 12, 1, -6.813742950784121)",0.7181377166896832,0.0001222298542658488
"('poisson', 'random', 12, 1, -6.813742950784121)",0.7181377166896832,6.538609663645426e-05
"('poisson', 'random', 12, 1, -6.813742950784121)",0.7181377166896832,5.9612393379211426e-05
"('poisson', 'random', 12, 1, -6.813742950784121)",0.7181377166896832,0.00010444376203748914
"('poisson', 'random', 12, 1, -6.813742950784121)",0.7181377166896832,5.016869968838162e-05
"('poisson', 'random', 12, 1, -6.813742950784121)",0.7181377166896832,4.6220686700608995e-05
"('poisson', 'random', 12, 1, -6.813742950784121)",0.7181377166896832,6.281250052981907e-05
"('poisson', 'best', 22, 1, -9.210340371976182)",0.7135849858796497,5.1017403602600095e-05
"('poisson', 'best', 22, 1, -9.210340371976182)",0.7135849858796497,5.38659758037991e-05
