num_query,num_training,num_test,mae,mae_std,rmse,rmse_std,r2,r2_std
0,100,50,44.773473632812504,6.886911395988722,57.32316478972778,7.64199277305927,0.4561637218041817,0.1458899357056309
1,150,50,37.7352474609375,5.263008889283916,46.90144099523686,6.405237145400584,0.6356197910811219,0.10193752672997848
2,200,50,36.37807939453125,4.676700990434139,45.963672147395215,5.200159820016745,0.6520553847207106,0.08058893476302716
3,250,50,35.486843619791664,9.09862969560633,44.66360269200904,12.942463593939655,0.6483731687964288,0.20702430102646047
4,300,50,23.700191569010414,1.7532823711191112,30.44878015561636,1.7953433908527492,0.8487121275729312,0.017457346142960437
