Best_individual,Fitness_values,Time (hours)
"(24.6, -8.119642170031634)",0.9622649635416173,1.3779070642259386e-05
"(24.6, -8.119642170031634)",0.9622649635416173,1.3977222972446018e-05
"(24.6, -8.119642170031634)",0.9622649635416173,1.2780229250590006e-05
"(24.6, -8.119642170031634)",0.9622649635416173,1.672089099884033e-05
"(24.6, -8.119642170031634)",0.9622649635416173,1.1910398801167805e-05
"(24.6, -8.119642170031634)",0.9622649635416173,1.4241205321417914e-05
"(24.6, -8.119642170031634)",0.9622649635416173,1.2078616354200575e-05
"(24.6, -8.119642170031634)",0.9622649635416173,1.2451344066196017e-05
"(24.6, -8.119642170031634)",0.9622649635416173,1.4916724628872342e-05
"(24.6, -8.119642170031634)",0.9622649635416173,1.3859735594855414e-05
