ME,MAE,MSE,RMSE,MSLE,RMSLE,MAPE,MaxAPE,RMSPE,MPE,MaxAE,deltaMaxE,r_squared,time(seconds),Model,parameters,Feature,run_key
4.552817883339197,11.553280063774162,181.72819797227447,13.480660146011934,0.00011396673759956667,0.010675520483778142,0.9105242223102075,2.5796433993517534,1.0620775201892783,0.35355188263843224,33.01788772566283,45.5426336527853,0.980328032332101,4.930333375930786,Lasso,"{'alpha': np.float64(0.10000000000000002), 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",mord_descriptors,Lasso_mord_descriptors_3a7194cd47ba458d8ba38a4c42e3dc6d
3.515361951421653,10.915171887031704,188.53908139747924,13.730953404533832,0.000124157045201147,0.011142578032086965,0.8698343435462111,2.1930161233678387,1.1086840166356235,0.2908191287035586,28.069290569434315,47.4324923160118,0.97959075831505,1.207373857498169,Ridge,"{'alpha': 63.800000000000004, 'copy_X': True, 'fit_intercept': True, 'max_iter': None, 'positive': False, 'random_state': None, 'solver': 'auto', 'tol': 0.0001}",mord_descriptors,Ridge_mord_descriptors_c196269642bc48e1ac9f7450c72436d9
3.687586029096019,10.678848579273017,191.56370007311375,13.840653888928577,0.0001221163987770631,0.011050628886043684,0.8431859838787655,2.740330122019942,1.0999914656368945,0.29925000084693903,35.074581363782045,57.654403062773554,0.9792633451702618,5.995099782943726,ElasticNet,"{'alpha': np.float64(0.06951927961775611), 'copy_X': True, 'fit_intercept': True, 'l1_ratio': 0.4, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",mord_descriptors,ElasticNet_mord_descriptors_516936b2cb4d4804afa1dd7e072c7714
4.483152329078609,11.853263026847902,232.8671616841285,15.2599856383985,0.00014431987130095113,0.012013320577631778,0.9285126097877797,2.919668513091792,1.1981571590640034,0.3433633543852957,37.37000516646708,66.25182091405213,0.9747922703978803,2.749952793121338,SVR,"{'C': np.float64(1.0), 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'shrinking': True, 'tol': 0.001, 'verbose': False}",mord_descriptors,SVR_mord_descriptors_f44f5f430c6043969a4062edb7528402
4.18217869593459,16.88961389754777,476.89517404057415,21.837929710496233,0.0002841307454429864,0.01685617825733302,1.3184341498193364,4.192187519354827,1.6748925883631292,0.3088347503689719,61.49939090893531,97.64610049042608,0.9483763854515603,1.8324620723724365,Lasso,"{'alpha': np.float64(0.10000000000000002), 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",rdkit_descriptors,Lasso_rdkit_descriptors_91aafe99bf1344fe8545c75f78abb6d5
4.139097490560777,17.790070712809086,496.91439957755347,22.291576875078924,0.0002970043002075677,0.017233812700838073,1.389557300966405,4.205474262543578,1.7132323276841115,0.31006888834077156,61.69430743151429,98.1962395447747,0.9462093163786588,0.7833025455474854,Ridge,"{'alpha': 5.0, 'copy_X': True, 'fit_intercept': True, 'max_iter': None, 'positive': False, 'random_state': None, 'solver': 'auto', 'tol': 0.0001}",rdkit_descriptors,Ridge_rdkit_descriptors_8e884cb01ad148408712efd16965e957
4.401148784554698,18.03769402478042,503.7155325848842,22.44360783352098,0.0003009648383452323,0.017348338201258133,1.4081416437243175,4.234328696388894,1.724063683885797,0.33004694199402623,62.11760197602507,98.27655490737038,0.9454730978384536,1.8848137855529785,ElasticNet,"{'alpha': np.float64(0.10000000000000002), 'copy_X': True, 'fit_intercept': True, 'l1_ratio': 0.7, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",rdkit_descriptors,ElasticNet_rdkit_descriptors_19bde069eb2649ecbbfd28b2f011658b
5.004877268091275,19.254585531641773,623.8259618412509,24.97650819953123,0.00037953485036721366,0.019481654199970125,1.513789612595067,4.573625895776,1.934141390214,0.3828212630842059,67.09509189103392,105.11244866123457,0.9324712164173369,13.696179389953613,SVR,"{'C': np.float64(11.421052631578947), 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'shrinking': True, 'tol': 0.001, 'verbose': False}",rdkit_descriptors,SVR_rdkit_descriptors_b46b8047cc1a428298ed35dab8446149
7.9127499999999715,27.688750000000017,1137.5614212500009,33.727754464980336,0.0007134273298020042,0.026710060460470773,2.159353999584,6.548074682996642,2.645154211945624,0.5259234841364153,78.70000000000005,134.57000000000016,0.8768596632290748,1.2859044075012207,DecisionTreeRegressor,"{'ccp_alpha': 0.0, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 11, 'min_samples_split': 22, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': None, 'splitter': 'best'}",rdkit_descriptors,DecisionTreeRegressor_rdkit_descriptors_b102e2366e0a4d008ffc096d7debdf28
-4.6322584909274385,25.970876436754633,1146.052757749057,33.85340097758358,0.0006932257079483889,0.026329179781155145,2.0243577723964594,7.226698973233507,2.680475132507355,-0.4149167151232864,87.83908067985863,133.84863856040852,0.8759404811817617,1.1439523696899414,Ridge,"{'alpha': 78.5, 'copy_X': True, 'fit_intercept': True, 'max_iter': None, 'positive': False, 'random_state': None, 'solver': 'auto', 'tol': 0.0001}",hashedatompair_radius3,Ridge_hashedatompair_radius3_7c27bb60e96049318fd352ac182b45f1
