Best_individual,Fitness_values,Time (hours)
"(-2.3025850929940455, 0.7)",0.9603439658583843,6.96257750193278e-05
"(-2.3025850929940455, 0.7)",0.9603439658583843,6.468653678894043e-05
"(-2.3025850929940455, 0.7)",0.9603439658583843,6.44116931491428e-05
"(-2.3025850929940455, 0.7)",0.9603439658583843,6.63981835047404e-05
"(-2.3025850929940455, 0.7)",0.9603439658583843,7.008930047353109e-05
"(-2.3025850929940455, 0.7)",0.9603439658583843,5.330814255608453e-05
"(-2.3025850929940455, 0.7)",0.9603439658583843,5.363451109992133e-05
"(-2.3025850929940455, 0.7)",0.9603439658583843,4.8215919070773654e-05
"(-2.3025850929940455, 0.7)",0.9603439658583843,5.101256900363498e-05
"(-2.3025850929940455, 0.7)",0.9603439658583843,5.618731180826823e-05
